title,quotes
肖申克的救赎,9.7                                                                  3030715人评价
霸王别姬,9.6                                                                  2240322人评价
阿甘正传,9.5                                                                  2258165人评价
泰坦尼克号,9.5                                                                  2297490人评价
千与千寻,9.4                                                                  2346476人评价
这个杀手不太冷,9.4                                                                  2384822人评价
美丽人生,9.5                                                                  1382149人评价
星际穿越,9.4                                                                  1963089人评价
盗梦空间,9.4                                                                  2160931人评价
楚门的世界,9.4                                                                  1816980人评价
辛德勒的名单,9.5                                                                  1169099人评价
忠犬八公的故事,9.4                                                                  1449196人评价
海上钢琴师,9.3                                                                  1746786人评价
三傻大闹宝莱坞,9.2                                                                  1937292人评价
放牛班的春天,9.3                                                                  1372011人评价
机器人总动员,9.3                                                                  1376494人评价
疯狂动物城,9.2                                                                  2052644人评价
无间道,9.3                                                                  1439621人评价
控方证人,9.6                                                                  616919人评价
大话西游之大圣娶亲,9.2                                                                  1597231人评价
熔炉,9.4                                                                  971829人评价
教父,9.3                                                                  1017994人评价
触不可及,9.3                                                                  1181852人评价
当幸福来敲门,9.2                                                                  1582420人评价
寻梦环游记,9.1                                                                  1782954人评价
